,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,23.0,80,90,2.71,GL,1618713479
1,jalu,29.0331,21.5482,77.2,24,16,9.35,LY,1618713479
2,cabo san lucas,-8.2833,-35.0333,73.4,94,75,2.3,BR,1618713480
3,ancud,-41.8697,-73.8203,53.6,87,20,9.22,CL,1618713480
4,southbridge,42.0751,-72.0334,42.8,70,90,8.05,US,1618713314
5,mar del plata,43.4002,-4.0094,44.01,81,2,2.3,ES,1618713481
6,conde,-7.2597,-34.9075,73.4,100,0,5.75,BR,1618713481
7,talaya,61.3833,152.75,33.53,80,31,13.78,RU,1618713481
8,nikolskoye,59.7035,30.7861,41.0,52,0,6.71,RU,1618713481
9,muros,42.7762,-9.0603,48.0,72,95,5.7,ES,1618713482
10,vostok,46.4856,135.8833,51.39,36,4,7.81,RU,1618713482
11,jamestown,42.097,-79.2353,41.0,81,90,3.44,US,1618713322
12,avarua,-21.2078,-159.775,80.6,78,90,9.22,CK,1618713482
13,bathsheba,13.2167,-59.5167,78.8,65,20,18.41,BB,1618713483
14,thompson,55.7435,-97.8558,28.4,69,90,10.36,CA,1618713483
15,gushikawa,26.3544,127.8686,69.8,49,20,20.71,JP,1618713483
16,narsaq,60.9167,-46.05,21.2,42,20,1.14,GL,1618713484
17,cherskiy,68.75,161.3,29.62,71,100,29.04,RU,1618713484
18,new norfolk,6.6518,-10.5932,71.8,93,76,1.36,LR,1618713484
19,mabaruma,8.2,-59.7833,75.11,85,91,5.03,GY,1618713485
20,rikitea,-23.1203,-134.9692,77.34,68,43,3.65,PF,1618713485
21,puerto ayacucho,36.5939,-6.233,57.0,94,95,2.3,ES,1618713485
22,trinidad,-14.8333,-64.9,73.8,95,71,1.3,BO,1618713485
23,hobart,-42.8794,147.3294,63.0,51,75,17.27,AU,1618713486
24,kapaa,22.0752,-159.319,75.2,53,75,13.8,US,1618713486
25,chuy,-33.6971,-53.4616,63.54,90,45,5.06,UY,1618713486
26,dikson,73.5069,80.5464,-6.03,96,50,3.85,RU,1618713187
27,barrow,71.2906,-156.7887,33.8,75,1,14.97,US,1618713487
28,khuzhir,53.1939,107.3397,30.52,46,14,10.98,RU,1618713487
29,arraial do cabo,-22.8362,-46.646,68.0,88,75,11.5,BR,1618713487
30,shimoda,34.6667,138.95,60.8,55,20,23.02,JP,1618713488
31,port pirie,-7.0349,29.7638,70.7,81,100,3.83,CD,1618713488
32,albany,42.6001,-73.9662,44.01,75,93,2.82,US,1618713240
33,ushuaia,-54.8,-68.3,51.8,58,40,11.5,AR,1618713488
34,saint-philippe,-21.3585,55.7679,73.4,88,75,8.05,RE,1618713489
35,hope,33.6671,-93.5916,55.0,67,77,3.0,US,1618713229
36,rochegda,62.8,43.25,30.2,76,17,6.53,RU,1618713489
37,mataura,-46.1927,168.8643,61.0,65,50,7.0,NZ,1618713489
38,awbari,26.5921,12.7805,77.2,25,100,3.4,LY,1618713490
39,hilo,19.7297,-155.09,80.6,54,75,9.22,US,1618713400
40,busselton,-33.65,115.3333,72.52,44,0,4.79,AU,1618713490
41,hermanus,-34.4187,19.2345,71.01,24,0,1.99,ZA,1618713490
42,bluff,-46.6,168.3333,61.0,65,83,7.0,NZ,1618713491
43,qaanaaq,77.484,-69.3632,-1.75,95,100,6.62,GL,1618713491
44,smoky lake,38.6465,-76.6508,48.99,85,100,2.08,US,1618713491
45,cape town,-36.413,-71.9028,57.2,94,100,4.61,CL,1618713491
46,sattahip,12.6664,100.9007,84.2,89,20,8.23,TH,1618713444
47,yellowknife,62.456,-114.3525,34.0,75,75,10.36,CA,1618713492
48,port alfred,-7.0349,29.7638,70.7,81,100,3.83,CD,1618713492
49,karaton,-6.3424,106.1045,84.99,78,20,6.91,ID,1618713492
